NO,TITLE,REFERENCE NO,DATE,URL,RESPONSIBLE OFFICE,Keyword/s,,,,,,,,,,,,,,,,,,,
45,Guidelines on the Utilization of the Twenty Percent (20%) of the Annual Internal Revenue Allotment for Development Projects in view of the Coronavirus Disease 2019 (COVID-19) Situation,DILG-DBM JMC No. 01,27/03/2020,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2020327_4dfdd46634.pdf,"Local Chief Executives, Members of the Local Sanggunian, Members of the Local Finance Committees, Local Accountants, Heads and Directors of the Central and Regional Offices/Field Offices of the DBM and DILG, and All Others Concerned",Annual Internal Revenue Allotment,,,,,,,,,,,,,,,,,,,
44,"Special Guidelines on the Provision of Social Amelioration measures by the DSWD, DOLE, DTI, DA, DOF, DBM and DILG to the most affected residents of the areas under Enhanced Community Quarantine",JMC No. 1 s. 2020,30/03/2020,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2020330_ed9e8ec836.pdf,,Provision of Social Amelioration,,,,,,,,,,,,,,,,,,,
43,Provisional Guidelines on the preparation and approval of the Annual Investment Programs of Local Government Units in view of the Coronavirus Disease 2019 (COVID-19) Situation,DILG-DBM JMC No. 2,30/03/2020,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2020330_ed9e8ec836.pdf,"Local Chief Executives, Members of the Local Sanggunian, Members of the Local Finance Committees, Local Accountants, Heads and Directors of the Central and Regional Offices/Field Offices of the DBM and DILG, and All Others Concerned",preparation and approval of the Annual Investment,,,,,,,,,,,,,,,,,,,
42,"Reiteration of Protocols on Reaching out to Children, including those in Street Situations, in need of Special Protection, Children at Risk, and Children in Conflict with the Law During the Enhanced Community Quarantine",DILG-CWC JMC No. 2020-001,06/04/2020,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-202046_9aff8965cd.pdf,"All Provincial Governors, City Mayors, Municipal Mayors, Punong Barangays, DILG Regional Directors, Regional Committees / Sub-Committees for the Welfare of Children, BARMM Minister for Local Government, and others concerned",Protocols on Reaching out to Children,,,,,,,,,,,,,,,,,,,
41,Suppletory Guidelines on the Management of Human Remains for Patient Under Investigation (PUI) and Confirmed COVID-19 Cases (DILG Memorandum Circular No. 2020-063).,DILG-DOH JMC No. 01,24/04/2020,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2020424_f892bb82a0.pdf,"All Local Chief Executives, DILG and DOH-CHD Regional Directors, BARMM Ministers of Local Government and Health, all referral facilities (private and public), and all others concerned.",Management of Human Remains for Patient Under Investigation,,,,,,,,,,,,,,,,,,,
40,Guidelines for LGUs to Facilitate the Implementation of Energy Projects,JMC DILG-DOE No. 2020-01,26/05/2020,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2020526_a08a35025f.pdf,"All Provincial Governors, City and Municipal Mayors, Punong Barangays, DILG Regional / Provincial / City Directors, DILG BARMM Minister, Cluster Leaders, and City / Municipal Local Government. Operation Officers (C / MLGOOS)",LGUs to Facilitate the Implementation,,,,,,,,,,,,,,,,,,,
39,"Ensuring Gender-Responsive Interventions to COVID-19 and the New Normal including Ensuring Prompt, Effective, and Survivor-Centered Response to all forms of Gender-Based Violence",JMC DILG-CHR No. 2020-01,17/07/2020,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2020717_5937e66b79.pdf,all concerned,Gender-Responsive Interventions to COVID-19,,,,,,,,,,,,,,,,,,,
38,Organization and Mobilization of Composite Teams in Local Government Units for Community Mitigation of COVID-19,"JMC DILG,DOH,DICT,NEDA2020-01",11/08/2020,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2020811_2dd099a177.pdf,all concerned,Composite Teams in Local Government Units,,,,,,,,,,,,,,,,,,,
37,"Addendum to DepEd-DBM-DILG JC No. 1, s. 2017 dated January 19, 2017, Entitled, ""Revised Guidelines on the use of the Special Education Fund (SEF)""","DepED-DBM-DILG JC No.1,s.2020",28/08/2020,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2020828_9d783ee928.pdf,"All Provincial Governors, City and Municipal Mayors,School Division Superintendents, Public School District Supervisors and School Heads, Members of the Local School Boards, and other National and Local Gov't. Officials concerned",Addendum to DepEd-DBM-DILG J,,,,,,,,,,,,,,,,,,,
36,Guidelines on the Grant of the Performance-Based Bonus (PBB) for Officials and Employees of Local Government Units (LGUs) for Fiscal Year (FY) 2020,JMC DILG DBM No. 04,29/09/2020,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2020929_4f941ac083.pdf,"All Provincial Governors, City Mayors,Municipal Mayors,Department of the Interior and Local Government (DILG)Regional Directors,DILG-BANGSAMORO Administrative Region in Muslim Mindanao(BARMM) Minister of Local Government, and Heads of Concerned Offices",Grant of the Performance-Based Bonus,,,,,,,,,,,,,,,,,,,
35,"Guidelines on the Advocacy, Recruitment and Community Mobilization for the Voluntary Blood and Convalescent Plasma Donation Program","DOH,DILG JMC No.2020-02",06/10/2020,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2020929_4f941ac083.pdf,"All Local Government Units (LGUs), Local Chief Executives, Local Health Offices, Department of the Interior and Local Government (DILG) and its field offices, Department of Health and Centers for Health Development, Minister of Local Government and Health",Voluntary Blood and Convalescent Plasma Donation Program,,,,,,,,,,,,,,,,,,,
34,Guidelines on the Formulation of Provincial City and Municipal Agricultural and Fishery Mechanization Plans,"DILG,DA JMC No. 01 s 2020",15/10/2020,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-20201015_124e3b9144.pdf,All Concerned,Municipal Agricultural and Fishery Mechanization Plans,,,,,,,,,,,,,,,,,,,
33,DOT-DA-DILG-DENR JMC No. 01 s. 2020 - Rules and Regulations governing the conduct of Marine Wildlife Tourism Interactions in the Philippines,JMC No. 2020-01,16/10/2020,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-20201016_aaf279fe35.pdf,,Marine Wildlife Tourism Interactions in the Philippines,,,,,,,,,,,,,,,,,,,
32,"Addendum No. 2 (Clarification to DepEd-DBM-DILG Joint Circular No. 1, series of 2017 dated January 19, 2017,Entitled, ""Revised Guidelines on the use of the Special Education Fund (SEF)"")","DEPED_DBM_DILG JC No. 2, S. 20",23/10/2020,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-20201023_9bb2954791.pdf,All Concerned,Revised Guidelines on the use of the Special Education Fund (SEF),,,,,,,,,,,,,,,,,,,
31,Implementing Guidelines on the Strengthening and Establishment of the Agricultural and Biosystems Engineering Groups of the Local Government Units (LGUs),"DAR,DBM,CSC,DILG JMC No.02 S20",26/10/2020,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-20201026_a5ba503fa9.pdf,All Concerned,Agricultural and Biosystems Engineering Groups,,,,,,,,,,,,,,,,,,,
30,"Clarification on the Utilization and Reversion of Funds Chargeable Against the FY 2019 Local Government Support Fund (LGSF)-Assistance to Municipalities (AM), Conditional Matching Grant to Provinces (CMGP), and SAGANA AT LIGTAS NA TUBIG PARA SA LAHAT (SALINTUBIG)","DILG,DBM JMC No 5",03/11/2020,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2020113_2735663016.pdf,All Concerned,SAGANA AT LIGTAS NA TUBIG PARA SA LAHAT,,,,,,,,,,,,,,,,,,,
29,Guidelines on the Proper Use and Promotion of Active Transport during and after the COVID-19 Pandemic,"DOH,DOTr,DILG,DPWH JAO No 2020-0001",03/11/2020,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2020113_1292b79658.pdf,All Concerned,Active Transport during and after the COVID-19 Pandemic,,,,,,,,,,,,,,,,,,,
28,Guidance on Mainstreaming Conflict Sensitivity and Peace Promotion (CSPP) and Sectoral Concerns in the Comprehensive Development Plan (CDP) of Local Government Units (LGUs) in Conflict-Affected and Conflict-Vulnerable Areas,DILG-OPAPP JMC No. 1 S. 2020,17/11/2020,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-20201117_dabd2e8bf7.pdf,All Concerned,Conflict-Affected and Conflict-Vulnerable Areas,,,,,,,,,,,,,,,,,,,
27,Guidelines on the Localization of the Safe Spaces Act,DILG-PCW JMC 2020-001,09/12/2020,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2020129_8a34fecbd6.pdf,All Concerned,Localization of the Safe Spaces Act,,,,,,,,,,,,,,,,,,,
26,Revised Guidelines on the Appropriation and Utilization of the Twenty Percent (20%) of the Annual Internal Revenue Allotment for Development Projects,DBM-DOF-DILG JMC No. 1,14/12/2020,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-20201214_c0aec0c1ee.pdf,All Concerned,Annual Internal Revenue Allotment for Development Projects,,,,,,,,,,,,,,,,,,,
25,Policy Guidelines on the Implementation of certain Provisions of the Bayanihan to Recover as One Act (RA) No. 11494 ) Pertaining to Local Government Units (LGUs),DBM-DOF-DILG JMC No. 2,14/12/2020,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-20201214_091c165f0c.pdf,All Concerned,Implementation of certain Provisions of the Bayanihan,,,,,,,,,,,,,,,,,,,
24,Mandatory Submission of the List of Business Establishments Registered in the Local Government Units,DILG-DTI JMC No 2021-001,08/03/2021,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-202138_8b92a554bd.pdf,All Concerned,Submission of the List of Business Establishments,,,,,,,,,,,,,,,,,,,
23,Omnibus Guidelines on the Suspension of LGU Imposition and Collection of Illegal Fees and Taxes Relative to the Transport of Goods and Products,DILG-ARTA-DOF JMC No 2021-01,04/05/2021,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2021511_ec4d2e0eaf.pdf,All Concerned,Collection of Illegal Fees and Taxes Relative,,,,,,,,,,,,,,,,,,,
22,Amended Guidelines on the Standardized Submission of Local Cultural Inventory under the Philippine Registry of Cultural Property for the Issuance of Certificate of Compliance to Local Government Units,JMC-DILG-NCCA No. 2021-001,10/05/2021,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2021510_bfd3df598d.pdf, All Concerned,Standardized Submission of Local Cultural Inventory,,,,,,,,,,,,,,,,,,,
21,Implementation of the Line List System in Local Government Units through the use of the DICT Vaccine Administration System,DILG-DICT JMC No 2021-01,26/07/2021,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2021726_814f31d2ae.pdf,All Concerned,Line List System in Local Government Units,,,,,,,,,,,,,,,,,,,
20,Joint Implementing Guidelines for the Distribution of Financial Assistance to Cities and Municipality in National Capital Region that are Placed under Enhance Community Quarantine,DILG-DSWD-DND JMC No 3 s 2021,10/08/2021,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2021810_75ae5cef47.pdf,All Concerned,Distribution of Financial Assistance to Cities and Municipality,,,,,,,,,,,,,,,,,,,
19,"Guidelines on the Preparation of Devolution Transition Plans of Local Government Units in Support of Full Devolution under Executive Order No. 138, Dated 01 June 2021",DBM-DILG JMC No 2021-1,18/08/2021,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2021818_8aa022e204.pdf,All Concerned,"Support of Full Devolution under Executive Order No. 138,",,,,,,,,,,,,,,,,,,,
18,"Guidelines on the Preparation of the Devolution Transition Plans for the National Government Agencies concerned in Support of Full Devolution under Executive Order (EO) No. 138, S. 2021",DBM-DILG JMC No 2021-02,09/09/2021,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-202199_072bc85dfd.pdf,All Concerned,Devolution Transition Plans for the National Government Agencies,,,,,,,,,,,,,,,,,,,
17,Implementing Guidelines on the Provision of DILG-Administered Package of Assistance for Former Rebels (FRs) and Former Violent Extremists (FVEs) under the Enhanced Comprehensive Local Integrated Program (ECLIP),DILG-DND JMC No 01-2021,23/09/2021,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2021923_14ff9e0b89.pdf,All Concerned,Enhanced Comprehensive Local Integrated Program,,,,,,,,,,,,,,,,,,,
16,"Guidelines on the Implementation of Personnel Policies and Options Pursuant to Executive Order (EO) No. 138, S. 2021 Directing the Full Devolution of certain functions of the Executive Branch to the Local Governments",DBM-DILG JMC No. 2021-3,20/10/2021,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-20211020_f1d55db2fa.pdf,All Concerned,Implementation of Personnel Policies and Options Pursuant,,,,,,,,,,,,,,,,,,,
15,Guidelines on the Grant of the Performance-Based Bonus for Officials and Employees of Local Government Units for Fiscal Year 2021,DILG-DBM JMC No. 2021-01,23/11/2021,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-20211123_a2d32a60ed.pdf,,Grant of the Performance-Based Bonus,,,,,,,,,,,,,,,,,,,
14,Guidelines on the Implementation of Strengthening Initiatives for Balanced Growth and Opportunities at the Localities (SIBOL),DILG-TESDA-DOLE-DTI JMC2021-001,29/11/2021,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-20211129_fbd8eb1725.pdf,All Concerned,Implementation of Strengthening Initiatives,,,,,,,,,,,,,,,,,,,
13,Guidelines on Streamlining of LGU Systems and Procedures on Business and Non Business-Related Services for Cities and Municipalities,DILG-ARTA JMC NO 2021-01,28/12/2021,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-20211228_e339a02d2a.pdf,,Procedures on Business and Non Business-Related Services,,,,,,,,,,,,,,,,,,,
12,Amendments to DILG-DBM JMC No. 2021-001 on the Gudielines for the Grant of PBB for Officials anf Employees of Local Government Units for FY 2021,DILG-DBM JMC No. 2022-001,04/01/2022,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-202215_e81ee657e2.pdf,,Guidielines for the Grant of PBB for Officials anf Employees,,,,,,,,,,,,,,,,,,,
11,Guidelines in Handling Violence Against Women and Children (VAWC) and other Gender-Based Violence Emergencies Reported Through Emergency 911 National Emergency Hotline,DILG-DSWD-DOJ JMC No. 2021-01,29/03/2022,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2022330_8ef0dfc12f.pdf,All Concerned,Handling Violence Against Women and Children (,,,,,,,,,,,,,,,,,,,
10,Guidelines in Support of the Implementation of the Pantawid Pamilyang Pilipino Program (4Ps),DSWD-DILG JMC No 2022-001,05/05/2022,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-202255_1b638c968a.pdf,All Concerned,Implementation of the Pantawid Pamilyang Pilipino Program,,,,,,,,,,,,,,,,,,,
9,Guidelines on the Provision of the Mandatory Statutory Benefits and Privileges of the Senior Citizens and Persons with Disabilities on their Purchases through Online (E-Commerce) and Phone Call/SMS,DTI-DSWD-NCSC-NCDA-DOH-DILG-BIR JMC No. 01-2022,12/05/2022,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2022512_e701c93e48.pdf,All Concerned,Mandatory Statutory Benefits and Privileges,,,,,,,,,,,,,,,,,,,
8,Implementation Guidelines of the Community-Based Monitoring System (CBMS) for the Targeted Nationwide Rollout in 2022,PSA-DILG JMC 2022-001,23/05/2022,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2022523_524ea021ce.pdf,All Concerned,Community-Based Monitoring System,,,,,,,,,,,,,,,,,,,
7,Guidelines to LGUs Enjoining Participation in the PALENG-QR PH Program,DILG-BSP JMC No 01 S. 2022,23/06/2022,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2022623_c7d7557899.pdf,All Concerned,LGUs Enjoining Participation in the PALENG-QR PH Program,,,,,,,,,,,,,,,,,,,
6,"Guidelines in the Review of Local Ordinances, Orders, Rules and Regulations Concerning Public Transportation",DILG-DOTC JMC No 01 s. 2008,29/09/2022,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2022929_e76ab10da7.pdf,All Concerned,Review of Local Ordinances,,,,,,,,,,,,,,,,,,,
5,Awarding and Recognition of Pinaslakas LGU Champions,DILG-DOH JMC No 2022-01,27/10/2022,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-20221027_d783030072.pdf,All Concerned,Pinaslakas LGU Champions,,,,,,,,,,,,,,,,,,,
4,"STRENGTHENING THE LOCAL IMPLEMENTATION OF RPRH-RELATED PROGRAMS, PROJECTS AND ACTIVITIES (PPA) THROUGH VARIOUS FUND SOURCES","DOH-DILG-POPCOM-PCW JMC NO 1, SERIES OF 2022",08/11/2022,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2022118_348504e644.pdf,,LOCAL IMPLEMENTATION OF RPRH-RELATED PROGRAMS,,,,,,,,,,,,,,,,,,,
3,Interim Guidelines on the Formulation of Provincial Development and Physical Framework Plan,DHSUD-NEDA-DILG JMC No. 2023-001,08/06/2023,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-202368_d1c87b9504.pdf,,Provincial Development and Physical Framework Plan,,,,,,,,,,,,,,,,,,,
2,Retention and Continued Service of Barangay Health Workers,DILG-DOH JMC No 2023-001,29/08/2023,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2023829_8a3dec8214.pdf,All Concerned,Retention and Continued Service,,,,,,,,,,,,,,,,,,,
1,"Guidelines in Issuances of Business Permit / License of the designated Non-Financial Businesses and Professions (DNFBPs)Pursuant to RA 9160, also known as the Anti-Money Laundering Act of 2001, as amended",JMC-DILG-AMLC No. 01 S. 2023,04/10/2023,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2023104_c4c7bfbcfe.pdf,All Concerned,License of the designated Non-Financial Businesses and Professions,,,,,,,,,,,,,,,,,,,
,"Policy Guidelines and Procedures in the Implementation of the Local Government Support Fund - Support and Assistance Fund to Participatory Budgeting (LGSF-SAFPB) under the FY 2024 General Appropriations Act (GAA), Republic Act (RA) No. 11975",DBM-DILG JMC No. 1 s. 2024,28/02/2024,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2024228_facaa7f22d.pdf,,Support and Assistance Fund to Participatory Budgeting,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
